draw_no,draw_date,prize_code,digit
1,1992-01-04,1,7250
1,1992-01-04,2,6973
1,1992-01-04,3,9020
1,1992-01-04,C,1668
1,1992-01-04,C,1690
1,1992-01-04,C,2418
1,1992-01-04,C,4280
1,1992-01-04,C,6753
1,1992-01-04,C,7511
1,1992-01-04,C,7870
1,1992-01-04,C,7914
1,1992-01-04,C,7954
1,1992-01-04,C,9251
1,1992-01-04,S,0718
1,1992-01-04,S,2450
1,1992-01-04,S,5400
1,1992-01-04,S,5525
1,1992-01-04,S,5655
1,1992-01-04,S,6741
1,1992-01-04,S,8430
1,1992-01-04,S,8979
1,1992-01-04,S,9600
1,1992-01-04,S,9839
2,1992-01-05,1,3318
2,1992-01-05,2,5550
2,1992-01-05,3,2004
2,1992-01-05,C,1444
2,1992-01-05,C,2325
2,1992-01-05,C,2370
2,1992-01-05,C,3631
2,1992-01-05,C,4412
2,1992-01-05,C,6931
2,1992-01-05,C,7437
2,1992-01-05,C,7887
2,1992-01-05,C,8782
2,1992-01-05,C,9208
2,1992-01-05,S,0965
2,1992-01-05,S,1167
2,1992-01-05,S,5162
2,1992-01-05,S,5849
2,1992-01-05,S,5945
2,1992-01-05,S,6135
2,1992-01-05,S,7096
2,1992-01-05,S,7848
2,1992-01-05,S,9447
2,1992-01-05,S,9656
3,1992-01-11,1,3498
3,1992-01-11,2,2656
3,1992-01-11,3,3347
3,1992-01-11,C,0394
3,1992-01-11,C,0482
3,1992-01-11,C,0938
3,1992-01-11,C,0973
3,1992-01-11,C,1602
3,1992-01-11,C,1878
3,1992-01-11,C,4088
3,1992-01-11,C,4965
3,1992-01-11,C,5386
3,1992-01-11,C,6690
3,1992-01-11,S,0003
3,1992-01-11,S,2684
3,1992-01-11,S,3256
3,1992-01-11,S,4349
3,1992-01-11,S,5548
3,1992-01-11,S,6876
3,1992-01-11,S,7397
3,1992-01-11,S,7642
3,1992-01-11,S,7698
3,1992-01-11,S,8092
4,1992-01-12,1,2235
4,1992-01-12,2,1766
4,1992-01-12,3,0019
4,1992-01-12,C,0746
4,1992-01-12,C,5193
4,1992-01-12,C,6556
4,1992-01-12,C,6909
4,1992-01-12,C,7126
4,1992-01-12,C,7855
4,1992-01-12,C,7952
4,1992-01-12,C,8289
4,1992-01-12,C,8567
4,1992-01-12,C,9859
4,1992-01-12,S,2906
4,1992-01-12,S,3210
4,1992-01-12,S,4238
4,1992-01-12,S,4393
4,1992-01-12,S,4518
4,1992-01-12,S,4767
4,1992-01-12,S,8232
4,1992-01-12,S,8610
4,1992-01-12,S,9345
4,1992-01-12,S,9474
5,1992-01-18,1,6142
5,1992-01-18,2,6528
5,1992-01-18,3,5292
5,1992-01-18,C,0823
5,1992-01-18,C,1002
5,1992-01-18,C,1070
5,1992-01-18,C,2695
5,1992-01-18,C,3043
5,1992-01-18,C,3178
5,1992-01-18,C,3801
5,1992-01-18,C,3813
5,1992-01-18,C,4825
5,1992-01-18,C,7613
5,1992-01-18,S,1673
5,1992-01-18,S,3142
5,1992-01-18,S,3599
5,1992-01-18,S,4262
5,1992-01-18,S,4515
5,1992-01-18,S,4581
5,1992-01-18,S,6376
5,1992-01-18,S,6423
5,1992-01-18,S,6631
5,1992-01-18,S,7224
6,1992-01-19,1,1703
6,1992-01-19,2,9947
6,1992-01-19,3,7557
6,1992-01-19,C,0430
6,1992-01-19,C,1801
6,1992-01-19,C,1974
6,1992-01-19,C,2379
6,1992-01-19,C,2440
6,1992-01-19,C,2763
6,1992-01-19,C,6236
6,1992-01-19,C,7546
6,1992-01-19,C,7786
6,1992-01-19,C,8873
6,1992-01-19,S,1188
6,1992-01-19,S,1654
6,1992-01-19,S,2209
6,1992-01-19,S,3665
6,1992-01-19,S,4864
6,1992-01-19,S,5089
6,1992-01-19,S,7043
6,1992-01-19,S,7475
6,1992-01-19,S,8179
6,1992-01-19,S,9189
7,1992-01-25,1,8008
7,1992-01-25,2,1599
7,1992-01-25,3,0537
7,1992-01-25,C,1061
7,1992-01-25,C,1514
7,1992-01-25,C,2055
7,1992-01-25,C,4413
7,1992-01-25,C,4452
7,1992-01-25,C,5468
7,1992-01-25,C,6063
7,1992-01-25,C,7776
7,1992-01-25,C,8760
7,1992-01-25,C,9987
7,1992-01-25,S,0856
7,1992-01-25,S,2646
7,1992-01-25,S,2662
7,1992-01-25,S,3713
7,1992-01-25,S,3878
7,1992-01-25,S,5275
7,1992-01-25,S,7394
7,1992-01-25,S,8116
7,1992-01-25,S,9166
7,1992-01-25,S,9413
8,1992-01-26,1,1156
8,1992-01-26,2,2725
8,1992-01-26,3,1552
8,1992-01-26,C,2511
8,1992-01-26,C,3501
8,1992-01-26,C,4104
8,1992-01-26,C,4449
8,1992-01-26,C,5088
8,1992-01-26,C,6085
8,1992-01-26,C,7386
8,1992-01-26,C,8673
8,1992-01-26,C,9488
8,1992-01-26,C,9503
8,1992-01-26,S,3345
8,1992-01-26,S,3696
8,1992-01-26,S,4662
8,1992-01-26,S,4882
8,1992-01-26,S,5427
8,1992-01-26,S,5869
8,1992-01-26,S,7403
8,1992-01-26,S,9086
8,1992-01-26,S,9541
8,1992-01-26,S,9674
9,1992-02-01,1,9906
9,1992-02-01,2,3727
9,1992-02-01,3,7462
9,1992-02-01,C,0713
9,1992-02-01,C,3321
9,1992-02-01,C,3600
9,1992-02-01,C,4248
9,1992-02-01,C,5468
9,1992-02-01,C,6592
9,1992-02-01,C,7938
9,1992-02-01,C,8815
9,1992-02-01,C,9553
9,1992-02-01,C,9758
9,1992-02-01,S,0224
9,1992-02-01,S,1206
9,1992-02-01,S,2744
9,1992-02-01,S,2970
9,1992-02-01,S,3110
9,1992-02-01,S,5932
9,1992-02-01,S,7468
9,1992-02-01,S,8226
9,1992-02-01,S,8424
9,1992-02-01,S,9145
10,1992-02-02,1,8023
10,1992-02-02,2,6441
10,1992-02-02,3,7376
10,1992-02-02,C,2509
10,1992-02-02,C,2558
10,1992-02-02,C,2945
10,1992-02-02,C,4741
10,1992-02-02,C,6017
10,1992-02-02,C,7146
10,1992-02-02,C,7210
10,1992-02-02,C,8432
10,1992-02-02,C,9147
10,1992-02-02,C,9791
10,1992-02-02,S,0449
10,1992-02-02,S,1152
10,1992-02-02,S,4823
10,1992-02-02,S,5543
10,1992-02-02,S,5790
10,1992-02-02,S,6260
10,1992-02-02,S,6555
10,1992-02-02,S,6580
10,1992-02-02,S,7007
10,1992-02-02,S,8024
11,1992-02-08,1,5826
11,1992-02-08,2,6164
11,1992-02-08,3,1701
11,1992-02-08,C,0812
11,1992-02-08,C,1447
11,1992-02-08,C,1504
11,1992-02-08,C,5221
11,1992-02-08,C,6140
11,1992-02-08,C,7929
11,1992-02-08,C,8107
11,1992-02-08,C,8718
11,1992-02-08,C,9204
11,1992-02-08,C,9568
11,1992-02-08,S,0935
11,1992-02-08,S,1784
11,1992-02-08,S,2452
11,1992-02-08,S,3759
11,1992-02-08,S,5093
11,1992-02-08,S,5447
11,1992-02-08,S,5970
11,1992-02-08,S,6237
11,1992-02-08,S,7215
11,1992-02-08,S,8323
12,1992-02-09,1,1566
12,1992-02-09,2,3664
12,1992-02-09,3,9989
12,1992-02-09,C,1336
12,1992-02-09,C,1923
12,1992-02-09,C,4246
12,1992-02-09,C,4364
12,1992-02-09,C,4460
12,1992-02-09,C,4903
12,1992-02-09,C,6217
12,1992-02-09,C,6985
12,1992-02-09,C,7289
12,1992-02-09,C,9736
12,1992-02-09,S,1589
12,1992-02-09,S,1599
12,1992-02-09,S,3932
12,1992-02-09,S,6367
12,1992-02-09,S,6961
12,1992-02-09,S,7150
12,1992-02-09,S,7741
12,1992-02-09,S,8128
12,1992-02-09,S,8334
12,1992-02-09,S,9551
13,1992-02-15,1,1518
13,1992-02-15,2,7667
13,1992-02-15,3,2205
13,1992-02-15,C,1922
13,1992-02-15,C,2257
13,1992-02-15,C,3206
13,1992-02-15,C,3732
13,1992-02-15,C,4328
13,1992-02-15,C,4766
13,1992-02-15,C,4980
13,1992-02-15,C,7314
13,1992-02-15,C,7792
13,1992-02-15,C,8677
13,1992-02-15,S,3246
13,1992-02-15,S,4613
13,1992-02-15,S,6047
13,1992-02-15,S,6624
13,1992-02-15,S,7427
13,1992-02-15,S,8579
13,1992-02-15,S,8827
13,1992-02-15,S,9297
13,1992-02-15,S,9521
13,1992-02-15,S,9692
14,1992-02-16,1,1833
14,1992-02-16,2,0052
14,1992-02-16,3,5905
14,1992-02-16,C,1319
14,1992-02-16,C,1400
14,1992-02-16,C,1986
14,1992-02-16,C,4967
14,1992-02-16,C,5212
14,1992-02-16,C,8257
14,1992-02-16,C,8635
14,1992-02-16,C,9183
14,1992-02-16,C,9515
14,1992-02-16,C,9644
14,1992-02-16,S,1134
14,1992-02-16,S,2249
14,1992-02-16,S,2527
14,1992-02-16,S,3415
14,1992-02-16,S,4152
14,1992-02-16,S,5188
14,1992-02-16,S,6159
14,1992-02-16,S,6325
14,1992-02-16,S,7944
14,1992-02-16,S,8217
15,1992-02-22,1,6067
15,1992-02-22,2,2311
15,1992-02-22,3,0894
15,1992-02-22,C,0207
15,1992-02-22,C,1126
15,1992-02-22,C,1482
15,1992-02-22,C,2023
15,1992-02-22,C,2482
15,1992-02-22,C,3078
15,1992-02-22,C,3936
15,1992-02-22,C,7183
15,1992-02-22,C,8450
15,1992-02-22,C,9269
15,1992-02-22,S,0746
15,1992-02-22,S,1082
15,1992-02-22,S,1609
15,1992-02-22,S,2633
15,1992-02-22,S,7816
15,1992-02-22,S,8790
15,1992-02-22,S,8867
15,1992-02-22,S,8948
15,1992-02-22,S,9275
15,1992-02-22,S,9333
16,1992-02-23,1,4687
16,1992-02-23,2,6026
16,1992-02-23,3,9050
16,1992-02-23,C,1012
16,1992-02-23,C,1499
16,1992-02-23,C,1823
16,1992-02-23,C,1853
16,1992-02-23,C,3340
16,1992-02-23,C,5380
16,1992-02-23,C,6431
16,1992-02-23,C,6618
16,1992-02-23,C,6751
16,1992-02-23,C,9046
16,1992-02-23,S,0038
16,1992-02-23,S,0103
16,1992-02-23,S,0753
16,1992-02-23,S,3968
16,1992-02-23,S,5814
16,1992-02-23,S,5853
16,1992-02-23,S,6426
16,1992-02-23,S,8067
16,1992-02-23,S,8214
16,1992-02-23,S,8379
17,1992-02-29,1,2514
17,1992-02-29,2,0686
17,1992-02-29,3,0443
17,1992-02-29,C,0472
17,1992-02-29,C,1327
17,1992-02-29,C,3771
17,1992-02-29,C,5411
17,1992-02-29,C,6944
17,1992-02-29,C,7332
17,1992-02-29,C,7899
17,1992-02-29,C,9115
17,1992-02-29,C,9231
17,1992-02-29,C,9519
17,1992-02-29,S,2718
17,1992-02-29,S,2885
17,1992-02-29,S,4313
17,1992-02-29,S,4560
17,1992-02-29,S,4865
17,1992-02-29,S,5736
17,1992-02-29,S,6608
17,1992-02-29,S,7376
17,1992-02-29,S,7406
17,1992-02-29,S,8651
18,1992-03-01,1,8037
18,1992-03-01,2,1787
18,1992-03-01,3,4404
18,1992-03-01,C,1378
18,1992-03-01,C,1754
18,1992-03-01,C,1869
18,1992-03-01,C,2440
18,1992-03-01,C,3988
18,1992-03-01,C,4920
18,1992-03-01,C,5161
18,1992-03-01,C,7363
18,1992-03-01,C,7625
18,1992-03-01,C,7716
18,1992-03-01,S,0027
18,1992-03-01,S,2732
18,1992-03-01,S,2876
18,1992-03-01,S,4010
18,1992-03-01,S,4308
18,1992-03-01,S,5778
18,1992-03-01,S,7074
18,1992-03-01,S,7634
18,1992-03-01,S,7842
18,1992-03-01,S,9716
19,1992-03-07,1,8372
19,1992-03-07,2,1949
19,1992-03-07,3,6910
19,1992-03-07,C,0824
19,1992-03-07,C,2634
19,1992-03-07,C,3313
19,1992-03-07,C,3317
19,1992-03-07,C,4040
19,1992-03-07,C,4186
19,1992-03-07,C,4292
19,1992-03-07,C,4597
19,1992-03-07,C,8193
19,1992-03-07,C,9560
19,1992-03-07,S,1735
19,1992-03-07,S,1797
19,1992-03-07,S,2558
19,1992-03-07,S,3528
19,1992-03-07,S,6530
19,1992-03-07,S,7784
19,1992-03-07,S,8117
19,1992-03-07,S,9324
19,1992-03-07,S,9649
19,1992-03-07,S,9961
20,1992-03-08,1,6426
20,1992-03-08,2,9939
20,1992-03-08,3,2626
20,1992-03-08,C,0392
20,1992-03-08,C,0738
20,1992-03-08,C,2734
20,1992-03-08,C,3210
20,1992-03-08,C,3661
20,1992-03-08,C,5348
20,1992-03-08,C,6241
20,1992-03-08,C,6575
20,1992-03-08,C,9387
20,1992-03-08,C,9594
20,1992-03-08,S,1465
20,1992-03-08,S,1687
20,1992-03-08,S,2190
20,1992-03-08,S,4156
20,1992-03-08,S,6970
20,1992-03-08,S,7632
20,1992-03-08,S,7912
20,1992-03-08,S,8106
20,1992-03-08,S,8194
20,1992-03-08,S,9328
21,1992-03-14,1,0522
21,1992-03-14,2,1801
21,1992-03-14,3,9359
21,1992-03-14,C,0855
21,1992-03-14,C,2118
21,1992-03-14,C,4846
21,1992-03-14,C,5586
21,1992-03-14,C,5614
21,1992-03-14,C,5944
21,1992-03-14,C,6127
21,1992-03-14,C,6586
21,1992-03-14,C,7477
21,1992-03-14,C,9260
21,1992-03-14,S,0696
21,1992-03-14,S,1139
21,1992-03-14,S,1222
21,1992-03-14,S,3103
21,1992-03-14,S,3209
21,1992-03-14,S,3933
21,1992-03-14,S,4432
21,1992-03-14,S,4815
21,1992-03-14,S,7145
21,1992-03-14,S,7838
22,1992-03-15,1,7042
22,1992-03-15,2,5954
22,1992-03-15,3,0259
22,1992-03-15,C,0037
22,1992-03-15,C,0694
22,1992-03-15,C,2952
22,1992-03-15,C,3126
22,1992-03-15,C,4058
22,1992-03-15,C,4487
22,1992-03-15,C,5402
22,1992-03-15,C,6320
22,1992-03-15,C,8401
22,1992-03-15,C,9916
22,1992-03-15,S,0026
22,1992-03-15,S,0403
22,1992-03-15,S,0627
22,1992-03-15,S,4941
22,1992-03-15,S,5151
22,1992-03-15,S,5890
22,1992-03-15,S,6228
22,1992-03-15,S,8839
22,1992-03-15,S,9016
22,1992-03-15,S,9339
23,1992-03-21,1,2497
23,1992-03-21,2,8963
23,1992-03-21,3,4474
23,1992-03-21,C,0499
23,1992-03-21,C,2082
23,1992-03-21,C,2786
23,1992-03-21,C,3698
23,1992-03-21,C,3866
23,1992-03-21,C,3898
23,1992-03-21,C,4090
23,1992-03-21,C,4982
23,1992-03-21,C,7578
23,1992-03-21,C,9383
23,1992-03-21,S,1097
23,1992-03-21,S,1673
23,1992-03-21,S,1843
23,1992-03-21,S,2555
23,1992-03-21,S,2597
23,1992-03-21,S,3578
23,1992-03-21,S,6978
23,1992-03-21,S,7078
23,1992-03-21,S,9292
23,1992-03-21,S,9916
24,1992-03-22,1,2002
24,1992-03-22,2,8377
24,1992-03-22,3,3700
24,1992-03-22,C,0956
24,1992-03-22,C,1358
24,1992-03-22,C,1814
24,1992-03-22,C,5234
24,1992-03-22,C,5265
24,1992-03-22,C,5271
24,1992-03-22,C,5702
24,1992-03-22,C,8019
24,1992-03-22,C,8398
24,1992-03-22,C,8905
24,1992-03-22,S,0367
24,1992-03-22,S,1024
24,1992-03-22,S,1871
24,1992-03-22,S,2715
24,1992-03-22,S,3155
24,1992-03-22,S,3561
24,1992-03-22,S,5894
24,1992-03-22,S,7558
24,1992-03-22,S,8460
24,1992-03-22,S,9521
25,1992-03-28,1,8716
25,1992-03-28,2,5443
25,1992-03-28,3,8135
25,1992-03-28,C,0314
25,1992-03-28,C,0444
25,1992-03-28,C,1625
25,1992-03-28,C,3173
25,1992-03-28,C,3829
25,1992-03-28,C,4817
25,1992-03-28,C,5263
25,1992-03-28,C,6313
25,1992-03-28,C,8893
25,1992-03-28,C,9306
25,1992-03-28,S,3874
25,1992-03-28,S,5531
25,1992-03-28,S,6217
25,1992-03-28,S,6460
25,1992-03-28,S,6570
25,1992-03-28,S,7569
25,1992-03-28,S,7765
25,1992-03-28,S,8038
25,1992-03-28,S,8713
25,1992-03-28,S,9909
26,1992-03-29,1,0084
26,1992-03-29,2,0938
26,1992-03-29,3,5244
26,1992-03-29,C,0588
26,1992-03-29,C,0796
26,1992-03-29,C,1212
26,1992-03-29,C,1831
26,1992-03-29,C,2549
26,1992-03-29,C,2882
26,1992-03-29,C,3721
26,1992-03-29,C,4842
26,1992-03-29,C,6253
26,1992-03-29,C,7667
26,1992-03-29,S,1958
26,1992-03-29,S,2419
26,1992-03-29,S,3992
26,1992-03-29,S,4811
26,1992-03-29,S,5287
26,1992-03-29,S,8046
26,1992-03-29,S,8999
26,1992-03-29,S,9269
26,1992-03-29,S,9534
26,1992-03-29,S,9714
27,1992-04-04,1,6838
27,1992-04-04,2,4421
27,1992-04-04,3,6944
27,1992-04-04,C,1464
27,1992-04-04,C,1514
27,1992-04-04,C,2160
27,1992-04-04,C,4116
27,1992-04-04,C,5004
27,1992-04-04,C,5265
27,1992-04-04,C,8197
27,1992-04-04,C,8830
27,1992-04-04,C,8908
27,1992-04-04,C,9450
27,1992-04-04,S,1572
27,1992-04-04,S,2842
27,1992-04-04,S,3612
27,1992-04-04,S,3676
27,1992-04-04,S,4120
27,1992-04-04,S,4169
27,1992-04-04,S,5448
27,1992-04-04,S,7388
27,1992-04-04,S,7593
27,1992-04-04,S,8973
28,1992-04-05,1,7479
28,1992-04-05,2,3526
28,1992-04-05,3,3303
28,1992-04-05,C,0727
28,1992-04-05,C,0959
28,1992-04-05,C,2805
28,1992-04-05,C,3881
28,1992-04-05,C,5160
28,1992-04-05,C,6076
28,1992-04-05,C,7751
28,1992-04-05,C,9295
28,1992-04-05,C,9932
28,1992-04-05,C,9962
28,1992-04-05,S,0290
28,1992-04-05,S,1398
28,1992-04-05,S,3613
28,1992-04-05,S,5011
28,1992-04-05,S,7116
28,1992-04-05,S,7249
28,1992-04-05,S,7468
28,1992-04-05,S,7483
28,1992-04-05,S,8005
28,1992-04-05,S,8707
29,1992-04-11,1,5666
29,1992-04-11,2,5290
29,1992-04-11,3,3043
29,1992-04-11,C,2028
29,1992-04-11,C,2074
29,1992-04-11,C,2723
29,1992-04-11,C,3989
29,1992-04-11,C,5010
29,1992-04-11,C,5155
29,1992-04-11,C,5581
29,1992-04-11,C,6345
29,1992-04-11,C,8855
29,1992-04-11,C,9020
29,1992-04-11,S,0823
29,1992-04-11,S,0974
29,1992-04-11,S,1581
29,1992-04-11,S,2973
29,1992-04-11,S,4890
29,1992-04-11,S,5527
29,1992-04-11,S,6074
29,1992-04-11,S,6189
29,1992-04-11,S,8140
29,1992-04-11,S,9382
30,1992-04-12,1,4564
30,1992-04-12,2,5050
30,1992-04-12,3,5320
30,1992-04-12,C,0947
30,1992-04-12,C,0956
30,1992-04-12,C,1433
30,1992-04-12,C,2815
30,1992-04-12,C,3242
30,1992-04-12,C,3303
30,1992-04-12,C,5598
30,1992-04-12,C,6386
30,1992-04-12,C,8159
30,1992-04-12,C,8456
30,1992-04-12,S,2396
30,1992-04-12,S,2415
30,1992-04-12,S,2937
30,1992-04-12,S,3877
30,1992-04-12,S,4031
30,1992-04-12,S,5535
30,1992-04-12,S,7712
30,1992-04-12,S,8059
30,1992-04-12,S,8123
30,1992-04-12,S,8619
31,1992-04-18,1,0571
31,1992-04-18,2,2630
31,1992-04-18,3,0958
31,1992-04-18,C,1145
31,1992-04-18,C,3273
31,1992-04-18,C,3301
31,1992-04-18,C,3397
31,1992-04-18,C,5302
31,1992-04-18,C,5530
31,1992-04-18,C,5837
31,1992-04-18,C,7151
31,1992-04-18,C,8650
31,1992-04-18,C,9851
31,1992-04-18,S,0525
31,1992-04-18,S,1164
31,1992-04-18,S,2170
31,1992-04-18,S,3989
31,1992-04-18,S,5509
31,1992-04-18,S,6144
31,1992-04-18,S,7898
31,1992-04-18,S,8083
31,1992-04-18,S,8960
31,1992-04-18,S,9493
32,1992-04-19,1,2224
32,1992-04-19,2,2199
32,1992-04-19,3,2289
32,1992-04-19,C,1946
32,1992-04-19,C,2092
32,1992-04-19,C,2575
32,1992-04-19,C,2902
32,1992-04-19,C,4403
32,1992-04-19,C,4547
32,1992-04-19,C,5210
32,1992-04-19,C,8549
32,1992-04-19,C,9335
32,1992-04-19,C,9657
32,1992-04-19,S,0653
32,1992-04-19,S,1811
32,1992-04-19,S,2952
32,1992-04-19,S,4282
32,1992-04-19,S,4704
32,1992-04-19,S,4937
32,1992-04-19,S,6344
32,1992-04-19,S,7252
32,1992-04-19,S,8811
32,1992-04-19,S,9633
33,1992-04-25,1,3042
33,1992-04-25,2,7842
33,1992-04-25,3,2738
33,1992-04-25,C,0041
33,1992-04-25,C,0521
33,1992-04-25,C,1562
33,1992-04-25,C,2114
33,1992-04-25,C,3312
33,1992-04-25,C,3322
33,1992-04-25,C,5487
33,1992-04-25,C,7253
33,1992-04-25,C,7744
33,1992-04-25,C,9692
33,1992-04-25,S,1191
33,1992-04-25,S,1729
33,1992-04-25,S,2935
33,1992-04-25,S,6256
33,1992-04-25,S,7860
33,1992-04-25,S,8637
33,1992-04-25,S,8651
33,1992-04-25,S,9162
33,1992-04-25,S,9436
33,1992-04-25,S,9769
34,1992-04-26,1,6447
34,1992-04-26,2,6768
34,1992-04-26,3,5297
34,1992-04-26,C,2175
34,1992-04-26,C,2816
34,1992-04-26,C,3651
34,1992-04-26,C,5025
34,1992-04-26,C,5055
34,1992-04-26,C,5398
34,1992-04-26,C,5434
34,1992-04-26,C,6301
34,1992-04-26,C,6487
34,1992-04-26,C,8609
34,1992-04-26,S,1413
34,1992-04-26,S,1693
34,1992-04-26,S,2837
34,1992-04-26,S,2990
34,1992-04-26,S,3108
34,1992-04-26,S,3467
34,1992-04-26,S,4644
34,1992-04-26,S,4903
34,1992-04-26,S,7878
34,1992-04-26,S,9410
35,1992-05-02,1,6185
35,1992-05-02,2,6489
35,1992-05-02,3,5444
35,1992-05-02,C,0284
35,1992-05-02,C,1488
35,1992-05-02,C,2081
35,1992-05-02,C,4885
35,1992-05-02,C,4961
35,1992-05-02,C,5185
35,1992-05-02,C,6875
35,1992-05-02,C,7053
35,1992-05-02,C,8370
35,1992-05-02,C,9853
35,1992-05-02,S,1445
35,1992-05-02,S,1518
35,1992-05-02,S,2215
35,1992-05-02,S,2217
35,1992-05-02,S,3598
35,1992-05-02,S,4397
35,1992-05-02,S,4865
35,1992-05-02,S,6459
35,1992-05-02,S,7133
35,1992-05-02,S,9309
36,1992-05-03,1,4911
36,1992-05-03,2,5498
36,1992-05-03,3,8410
36,1992-05-03,C,1074
36,1992-05-03,C,3004
36,1992-05-03,C,4446
36,1992-05-03,C,5495
36,1992-05-03,C,5578
36,1992-05-03,C,6335
36,1992-05-03,C,6740
36,1992-05-03,C,6996
36,1992-05-03,C,7815
36,1992-05-03,C,8945
36,1992-05-03,S,1071
36,1992-05-03,S,1434
36,1992-05-03,S,1900
36,1992-05-03,S,2472
36,1992-05-03,S,3036
36,1992-05-03,S,4920
36,1992-05-03,S,5164
36,1992-05-03,S,5889
36,1992-05-03,S,8988
36,1992-05-03,S,9052
37,1992-05-09,1,5955
37,1992-05-09,2,0577
37,1992-05-09,3,2020
37,1992-05-09,C,0042
37,1992-05-09,C,0256
37,1992-05-09,C,2085
37,1992-05-09,C,3329
37,1992-05-09,C,4611
37,1992-05-09,C,5363
37,1992-05-09,C,5760
37,1992-05-09,C,7406
37,1992-05-09,C,8715
37,1992-05-09,C,9454
37,1992-05-09,S,3146
37,1992-05-09,S,4568
37,1992-05-09,S,4927
37,1992-05-09,S,6032
37,1992-05-09,S,8174
37,1992-05-09,S,8260
37,1992-05-09,S,8855
37,1992-05-09,S,8864
37,1992-05-09,S,9380
37,1992-05-09,S,9744
38,1992-05-10,1,0091
38,1992-05-10,2,3954
38,1992-05-10,3,1911
38,1992-05-10,C,0309
38,1992-05-10,C,0985
38,1992-05-10,C,1473
38,1992-05-10,C,3915
38,1992-05-10,C,3981
38,1992-05-10,C,4907
38,1992-05-10,C,4995
38,1992-05-10,C,5386
38,1992-05-10,C,7708
38,1992-05-10,C,8890
38,1992-05-10,S,1137
38,1992-05-10,S,2101
38,1992-05-10,S,2168
38,1992-05-10,S,2444
38,1992-05-10,S,3169
38,1992-05-10,S,6064
38,1992-05-10,S,6880
38,1992-05-10,S,7227
38,1992-05-10,S,8430
38,1992-05-10,S,8485
39,1992-05-16,1,4109
39,1992-05-16,2,2057
39,1992-05-16,3,0499
39,1992-05-16,C,0263
39,1992-05-16,C,1488
39,1992-05-16,C,1600
39,1992-05-16,C,2118
39,1992-05-16,C,2645
39,1992-05-16,C,3575
39,1992-05-16,C,3643
39,1992-05-16,C,5499
39,1992-05-16,C,5671
39,1992-05-16,C,6505
39,1992-05-16,S,0277
39,1992-05-16,S,1781
39,1992-05-16,S,2744
39,1992-05-16,S,3500
39,1992-05-16,S,3995
39,1992-05-16,S,5362
39,1992-05-16,S,6592
39,1992-05-16,S,8285
39,1992-05-16,S,8669
39,1992-05-16,S,9221
40,1992-05-17,1,3975
40,1992-05-17,2,4453
40,1992-05-17,3,8050
40,1992-05-17,C,0195
40,1992-05-17,C,0785
40,1992-05-17,C,1830
40,1992-05-17,C,3262
40,1992-05-17,C,3824
40,1992-05-17,C,5260
40,1992-05-17,C,6185
40,1992-05-17,C,7100
40,1992-05-17,C,7617
40,1992-05-17,C,8597
40,1992-05-17,S,0047
40,1992-05-17,S,1160
40,1992-05-17,S,1604
40,1992-05-17,S,3930
40,1992-05-17,S,4171
40,1992-05-17,S,4729
40,1992-05-17,S,5020
40,1992-05-17,S,6813
40,1992-05-17,S,7934
40,1992-05-17,S,8710
41,1992-05-23,1,6563
41,1992-05-23,2,3219
41,1992-05-23,3,1479
41,1992-05-23,C,0856
41,1992-05-23,C,2923
41,1992-05-23,C,5877
41,1992-05-23,C,7536
41,1992-05-23,C,7761
41,1992-05-23,C,7785
41,1992-05-23,C,8281
41,1992-05-23,C,8527
41,1992-05-23,C,9103
41,1992-05-23,C,9605
41,1992-05-23,S,1172
41,1992-05-23,S,1236
41,1992-05-23,S,1382
41,1992-05-23,S,1986
41,1992-05-23,S,3399
41,1992-05-23,S,4478
41,1992-05-23,S,4763
41,1992-05-23,S,7751
41,1992-05-23,S,8842
41,1992-05-23,S,9426
42,1992-05-24,1,3436
42,1992-05-24,2,8729
42,1992-05-24,3,1970
42,1992-05-24,C,0172
42,1992-05-24,C,0273
42,1992-05-24,C,2414
42,1992-05-24,C,2527
42,1992-05-24,C,2567
42,1992-05-24,C,2693
42,1992-05-24,C,4441
42,1992-05-24,C,5352
42,1992-05-24,C,8167
42,1992-05-24,C,9413
42,1992-05-24,S,1378
42,1992-05-24,S,4458
42,1992-05-24,S,4988
42,1992-05-24,S,5085
42,1992-05-24,S,7406
42,1992-05-24,S,8289
42,1992-05-24,S,8722
42,1992-05-24,S,9204
42,1992-05-24,S,9286
42,1992-05-24,S,9295
43,1992-05-30,1,9669
43,1992-05-30,2,8910
43,1992-05-30,3,2065
43,1992-05-30,C,0843
43,1992-05-30,C,2674
43,1992-05-30,C,2890
43,1992-05-30,C,3757
43,1992-05-30,C,4266
43,1992-05-30,C,4553
43,1992-05-30,C,5467
43,1992-05-30,C,5587
43,1992-05-30,C,6946
43,1992-05-30,C,8090
43,1992-05-30,S,0144
43,1992-05-30,S,0537
43,1992-05-30,S,0806
43,1992-05-30,S,1524
43,1992-05-30,S,2099
43,1992-05-30,S,3755
43,1992-05-30,S,4792
43,1992-05-30,S,5833
43,1992-05-30,S,8704
43,1992-05-30,S,9489
44,1992-05-31,1,8280
44,1992-05-31,2,5161
44,1992-05-31,3,3267
44,1992-05-31,C,0092
44,1992-05-31,C,2310
44,1992-05-31,C,2434
44,1992-05-31,C,3876
44,1992-05-31,C,6300
44,1992-05-31,C,7281
